"Type","Accession","Trait","root_path","full_path"
Autoimmune_Rheumatoid_Arthritis,GCST90132222,rheumatoid arthritis,../Data/GWAS summary stats/Original Data,Autoimmune_Rheumatoid_Arthritis_1_GCST90132222.h.tsv.gz
Autoimmune_Rheumatoid_Arthritis,GCST90132223,rheumatoid arthritis,../Data/GWAS summary stats/Original Data,Autoimmune_Rheumatoid_Arthritis_2_GCST90132223.h.tsv.gz
Autoimmune_Rheumatoid_Arthritis,GCST90132224,rheumatoid arthritis,../Data/GWAS summary stats/Original Data,Autoimmune_Rheumatoid_Arthritis_3_GCST90132224.h.tsv.gz
Autoimmune_Rheumatoid_Arthritis,GCST90132225,rheumatoid arthritis; anti-citrullinated protein antibody seropositivity; rheumatoid factor seropositivity measurement,../Data/GWAS summary stats/Original Data,Autoimmune_Rheumatoid_Arthritis_4_GCST90132225.h.tsv.gz
Autoimmune_Rheumatoid_Arthritis,GCST90132226,rheumatoid arthritis; anti-citrullinated protein antibody seropositivity; rheumatoid factor seropositivity measurement,../Data/GWAS summary stats/Original Data,Autoimmune_Rheumatoid_Arthritis_5_GCST90132226.h.tsv.gz
Autoimmune_Rheumatoid_Arthritis,GCST90132227,rheumatoid arthritis; anti-citrullinated protein antibody seropositivity; rheumatoid factor seropositivity measurement,../Data/GWAS summary stats/Original Data,Autoimmune_Rheumatoid_Arthritis_6_GCST90132227.h.tsv.gz
Immune_Cell,GCST90001391,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_1_32929287-GCST90001391-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001400,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_10_32929287-GCST90001400-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001490,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_100_32929287-GCST90001490-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001491,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_101_32929287-GCST90001491-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001492,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_102_32929287-GCST90001492-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001493,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_103_32929287-GCST90001493-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001494,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_104_32929287-GCST90001494-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001495,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_105_32929287-GCST90001495-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001496,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_106_32929287-GCST90001496-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001497,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_107_32929287-GCST90001497-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001498,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_108_32929287-GCST90001498-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001499,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_109_32929287-GCST90001499-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001401,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_11_32929287-GCST90001401-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001500,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_110_32929287-GCST90001500-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001501,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_111_32929287-GCST90001501-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001502,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_112_32929287-GCST90001502-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001503,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_113_32929287-GCST90001503-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001504,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_114_32929287-GCST90001504-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001505,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_115_32929287-GCST90001505-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001506,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_116_32929287-GCST90001506-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001507,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_117_32929287-GCST90001507-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001508,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_118_32929287-GCST90001508-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001509,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_119_32929287-GCST90001509-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001402,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_12_32929287-GCST90001402-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001510,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_120_32929287-GCST90001510-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001511,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_121_32929287-GCST90001511-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001512,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_122_32929287-GCST90001512-EFO_0007937.h.tsv.gz
Immune_Cell,GCST90001513,lymphocyte count,../Data/GWAS summary stats/Original Data,Immune_Cell_123_32929287-GCST90001513-EFO_0007937.h.tsv.gz
